seed,time,condition_a,condition_b,comparison,paired_rms,baseline_projection_scale,rbf_bandwidth,swd_mean,swd_std,linear_mmd2_mean,linear_mmd2_std,c2st_auc_mean,c2st_auc_std,swd_mean_excess_over_split_null,linear_mmd2_mean_excess_over_split_null,c2st_auc_mean_excess_over_split_null
1,0.9,factorized_g1_r1p5,factorized_g3_r1,cross_condition,0.1749738305807113,0.7522170543670654,5.809022979740544,0.0685562210896651,0.0022070685538818,0.0070502843524698,0.0068199245364342,,,-0.02055517176195225,0.0058770119793965505,
1,0.9,factorized_g1_r1p5,closed_g3,cross_condition,0.2235863804817199,0.7522170543670654,5.809022979740544,0.0696785625746329,0.0040502756825786,-3.9021489007740745e-05,0.0071203735183634,,,-0.018476832434101503,-0.0008959685673407407,
1,0.9,factorized_g1p5_r1p35,factorized_g2_r1p35,cross_condition,0.086212582886219,0.7522170543670654,5.809022979740544,0.0669266304709151,0.0029071648419192,-0.0032268625554098,0.0145984433997908,,,-0.0218218139563936,-0.0021422982389582997,
1,0.9,factorized_g1p5_r1p35,factorized_g2p5_r1p35,cross_condition,0.1450787782669067,0.7522170543670654,5.809022979740544,0.0731046748790897,0.0019667098098901,-0.0030811823146032,0.0099707234824404,,,-0.017066231871590648,-0.0051216569159758495,
1,0.9,factorized_g1p5_r1p35,factorized_g3_r1,cross_condition,0.1289753466844558,0.7522170543670654,5.809022979740544,0.0645736930456478,0.0019312681603316,0.0008848180590565,0.0072017102596889,,,-0.02345218765993015,5.804501882354998e-05,
1,0.9,factorized_g1p5_r1p35,closed_g3,cross_condition,0.1978685855865478,0.7522170543670654,5.809022979740544,0.0679905765717605,0.0021768225675296,-0.0014550706430569,0.0099736238071393,,,-0.019079306290934503,-0.0019655183885496,
1,0.9,factorized_g2_r1p35,factorized_g2p5_r1p35,cross_condition,0.0792099237442016,0.7522170543670654,5.809022979740544,0.0673538780346189,0.0028722691528406,0.0021737071786823,0.0094252005316954,,,-0.023683755807927448,0.0007075052947732498,
1,0.9,factorized_g2_r1p35,factorized_g3_r1,cross_condition,0.155242383480072,0.7522170543670654,5.809022979740544,0.0698408388034083,0.0014416441728317,0.0001624904187621,0.0061898610119398,,,-0.019051768994035656,-9.00099040072501e-05,
1,0.9,factorized_g2_r1p35,closed_g3,cross_condition,0.2076474726200103,0.7522170543670654,5.809022979740544,0.0717210449172489,0.003724851408972,0.0003097618036985,0.010192524895629,,,-0.0162155650373121,0.0003735867756694,
1,0.9,factorized_g2p5_r1p35,factorized_g3_r1,cross_condition,0.1891764104366302,0.7522170543670654,5.809022979740544,0.0715084450664474,0.0024673419409888,-0.0051020537424698,0.0068308360729536,,,-0.018806625054368212,-0.008479592983063299,
1,0.9,factorized_g2p5_r1p35,closed_g3,cross_condition,0.2274454534053802,0.7522170543670654,5.809022979740544,0.0770745138894758,0.002403460155346,-0.0038210443649494,0.0110144343076649,,,-0.012284558388456851,-0.00688225831080265,
1,0.9,factorized_g3_r1,closed_g3,cross_condition,0.1822253614664077,0.7522170543670654,5.809022979740544,0.0695422662626382,0.0028012150984745,0.0021619418071986,0.0074711877925362,,,-0.01767177997019205,0.00031442942248505017,
1,0.93,baseline,baseline,within_condition_split,0.0,0.7735093235969543,5.971026839980291,0.0865959338229925,0.0023947248041123,0.0046024572367177,0.0095332623006431,,,,,
1,0.93,factorized_g1_r1p5,factorized_g1_r1p5,within_condition_split,0.0,0.7735093235969543,5.971026839980291,0.0923202422382064,0.0037284919760257,-0.0010985920612312,0.0077940327570696,,,,,
1,0.93,factorized_g1p5_r1p35,factorized_g1p5_r1p35,within_condition_split,0.0,0.7735093235969543,5.971026839980291,0.0924431698265778,0.006224491658372,-0.0041815549576507,0.0070067306737279,,,,,
1,0.93,factorized_g2_r1p35,factorized_g2_r1p35,within_condition_split,0.0,0.7735093235969543,5.971026839980291,0.0921687221415729,0.0020601426961469,-0.0015585974485324,0.0030255021165908,,,,,
1,0.93,factorized_g2p5_r1p35,factorized_g2p5_r1p35,within_condition_split,0.0,0.7735093235969543,5.971026839980291,0.0953952463778393,0.0065441501595094,0.0008443900462838,0.0075832649332471,,,,,
1,0.93,factorized_g3_r1,factorized_g3_r1,within_condition_split,0.0,0.7735093235969543,5.971026839980291,0.0922383250995021,0.0053026927884977,-0.0043181188364717,0.009120076539325,,,,,
1,0.93,closed_g3,closed_g3,within_condition_split,0.0,0.7735093235969543,5.971026839980291,0.0900750611225442,0.0035871251129568,-0.0016127427891595,0.0078318683656155,,,,,
1,0.93,baseline,factorized_g1_r1p5,cross_condition,0.3112385869026184,0.7735093235969543,5.971026839980291,0.0768183843433387,0.002937008920298,-0.0034956277703619,0.0084791282566834,,,-0.01263970368726075,-0.00524756035810515,
1,0.93,baseline,factorized_g1p5_r1p35,cross_condition,0.2944982647895813,0.7735093235969543,5.971026839980291,0.0785704527544467,0.0053432693205701,-0.0006299196045317,0.0072795089846031,,,-0.010949099070338447,-0.0008403707440652002,
1,0.93,baseline,factorized_g2_r1p35,cross_condition,0.3414886593818664,0.7735093235969543,5.971026839980291,0.0847801370548063,0.0044061102254279,0.0004639110718329,0.0053243006995073,,,-0.004602190927476393,-0.0010580188222597503,
