arm,idea_id,family,key,role,solver,strength,theta,external_semantics,fid,sfid,inception_score,independent_top1,independent_target_probability,full_calls_per_image,prefix_calls_per_image,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,sum_batch_gpu_seconds,complete
a1_golden_tube_01,A1,a1_golden_tube,golden_tube,candidate,heun64,0.75,1.0,False,48.800527599424754,210.6216391381946,52.006874084472656,0.7900000214576721,0.6770006418228149,1060.0,0.0,0.0,0.0,711.7158682034351,True
a1_golden_tube_02,A1,a1_golden_tube,golden_tube,candidate,heun64,1.25,0.25,False,45.50596468875045,208.14639949857428,62.99668884277344,0.8610000014305115,0.7783867120742798,1060.0,0.0,0.0,0.0,712.368074323982,True
a1_golden_tube_03,A1,a1_golden_tube,golden_tube,candidate,heun64,1.25,1.0,False,45.53551767350001,208.15275136339983,62.769222259521484,0.8610000014305115,0.7783678770065308,1060.0,0.0,0.0,0.0,715.5291832271032,True
a1_golden_tube_04,A1,a1_golden_tube,golden_tube,candidate,heun64,1.75,0.25,False,47.56828800195649,207.26574414535162,67.96051788330078,0.9020000100135803,0.8318303823471069,1060.0,0.0,0.0,0.0,710.7825725423172,True
a1_golden_tube_05,A1,a1_golden_tube,golden_tube,candidate,heun64,1.75,1.0,False,47.55012433804916,207.23599397834766,67.80035400390625,0.902999997138977,0.8313759565353394,1060.0,0.0,0.0,0.0,710.3378257793374,True
a1_golden_tube_06,A1,a1_golden_tube,golden_tube,candidate,heun64,2.25,0.25,False,51.0152700319162,207.25603671496356,70.32316589355469,0.9229999780654907,0.8676386475563049,1060.0,0.0,0.0,0.0,709.8730873242021,True
a1_golden_tube_07,A1,a1_golden_tube,golden_tube,candidate,heun64,2.25,1.0,False,50.93724549101728,207.27804044628795,70.37271881103516,0.9229999780654907,0.8670562505722046,1060.0,0.0,0.0,0.0,711.067609233316,True
a1_golden_tube_08,A1,a1_golden_tube,golden_tube,candidate,heun64,2.75,0.25,False,53.93681550714621,207.67374202167173,70.5051498413086,0.9380000233650208,0.882968544960022,1060.0,0.0,0.0,0.0,710.6874731876887,True
a1_golden_tube_09,A1,a1_golden_tube,golden_tube,candidate,heun64,2.75,1.0,False,53.88560522483306,207.8100791314995,70.43708038330078,0.9369999766349792,0.8819251656532288,1060.0,0.0,0.0,0.0,711.161935151089,True
a2_full_path_00,A2,a2_full_path,full_path,candidate,heun64,0.75,0.25,False,48.690020575781716,210.6721047949991,51.929412841796875,0.7910000085830688,0.6776657700538635,740.0,0.0,0.0,0.0,503.4611201127991,True
