noisy_state,conditional_mean,null_mean,linear_guidance,probability_guidance
-1.344999999999999973e+00,-9.727300338640181288e-01,-9.908266254165919440e-01,-9.501092944233007209e-01,-8.964929925065334704e-01
-1.339999999999999858e+00,-9.721868050091125868e-01,-9.906421780272984812e-01,-9.491175887363803021e-01,-8.945122986033113843e-01
-1.334999999999999964e+00,-9.716329104203753619e-01,-9.904540397704735266e-01,-9.481064987327525451e-01,-8.924958509692283437e-01
-1.330000000000000071e+00,-9.710681469440164415e-01,-9.902621375124827097e-01,-9.470756587334334675e-01,-8.904430870009638621e-01
-1.324999999999999956e+00,-9.704923078081935106e-01,-9.900663966998860532e-01,-9.460246966935776936e-01,-8.883534384361413405e-01
-1.319999999999999840e+00,-9.699051825687673434e-01,-9.898667413330675124e-01,-9.449532341133921598e-01,-8.862263314267920800e-01
-1.314999999999999947e+00,-9.693065570546701704e-01,-9.896630939394228665e-01,-9.438608859487294112e-01,-8.840611866195514645e-01
-1.310000000000000053e+00,-9.686962133129081165e-01,-9.894553755461026334e-01,-9.427472605214148871e-01,-8.818574192428244585e-01
-1.304999999999999938e+00,-9.680739295532134747e-01,-9.892435056523027903e-01,-9.416119594293519413e-01,-8.796144392011541191e-01
-1.299999999999999822e+00,-9.674394800923670212e-01,-9.890274022010990818e-01,-9.404545774564521121e-01,-8.773316511770157256e-01
-1.294999999999999929e+00,-9.667926352982167959e-01,-9.888069815508203630e-01,-9.392747024824625868e-01,-8.750084547402926516e-01
-1.290000000000000036e+00,-9.661331615334078915e-01,-9.885821584459532074e-01,-9.380719153927263854e-01,-8.726442444656550279e-01
-1.285000000000000142e+00,-9.654608210988551154e-01,-9.883528459875770000e-01,-9.368457899879527595e-01,-8.702384100581025406e-01
-1.280000000000000027e+00,-9.647753721769796176e-01,-9.881189556033193044e-01,-9.355958928940550923e-01,-8.677903364868919667e-01
-1.274999999999999911e+00,-9.640765687747385737e-01,-9.878803970168316129e-01,-9.343217834721220250e-01,-8.652994041281196758e-01
-1.270000000000000018e+00,-9.633641606664762325e-01,-9.876370782167778195e-01,-9.330230137285990821e-01,-8.627649889161814745e-01
-1.265000000000000124e+00,-9.626378933366257495e-01,-9.873889054253282005e-01,-9.316991282257474083e-01,-8.601864625043730284e-01
-1.260000000000000009e+00,-9.618975079222954472e-01,-9.871357830661625643e-01,-9.303496639924615508e-01,-8.575631924348708912e-01
-1.254999999999999893e+00,-9.611427411557735834e-01,-9.868776137319674735e-01,-9.289741504355313317e-01,-8.548945423183381687e-01
-1.250000000000000000e+00,-9.603733253069819398e-01,-9.866142981514304244e-01,-9.275721092514213062e-01,-8.521798720234083913e-01
-1.245000000000000107e+00,-9.595889881259247467e-01,-9.863457351557235464e-01,-9.261430543386761638e-01,-8.494185378762835192e-01
-1.239999999999999991e+00,-9.587894527851643645e-01,-9.860718216444758211e-01,-9.246864917110253490e-01,-8.466098928706977667e-01
-1.234999999999999876e+00,-9.579744378223674639e-01,-9.857924525512223868e-01,-9.232019194112988103e-01,-8.437532868884819459e-01
