scale,solver_index_in_ig_interval,time,delta_t,paired_nmse,paired_nrmse
1.0,28,0.9536423683166504,0.0022185985113204465,0.4900935436027156,0.7000668136704636
1.0,29,0.9514237642288208,0.0022712432217584233,0.48083743768587356,0.6934244282442562
1.0,30,0.9491525292396545,0.0023257842253685546,0.4719683923980962,0.6869995577859539
1.0,31,0.9468267560005188,0.002382313703068406,0.4634156449778053,0.6807463881489239
1.0,32,0.9444444179534912,0.002440929505955869,0.4550987486127404,0.6746100715322447
1.0,33,0.9420034885406494,0.002501735579057973,0.4469921520163947,0.6685747168539914
1.0,34,0.9395017623901367,0.0025648424224935518,0.43909214839950234,0.6626402858259542
1.0,35,0.9369369149208069,0.0026303675938713633,0.4312944006695451,0.6567300820501106
1.0,36,0.9343065619468689,0.002698436256189485,0.4236693462087293,0.6508988755626555
1.0,37,0.9316081404685974,0.0027691817760147064,0.41615239111886393,0.6450987452466979
1.0,38,0.9288389682769775,0.002842746377275107,0.40889669991925864,0.6394503107507719
1.0,39,0.9259961843490601,0.002919281856663347,0.4016715690996683,0.6337756457135824
1.0,40,0.9230769276618958,0.0029989503673714113,0.3945501894681177,0.6281323025192366
1.0,41,0.9200779795646667,0.003081925278721531,0.387543924439925,0.6225302598588481
1.0,42,0.9169960618019104,0.0031683921202089183,0.3806795758947311,0.6169923629144295
1.0,43,0.913827657699585,0.0032585496195642882,0.3737391338443436,0.611342075964303
1.0,44,0.9105691313743591,0.003352610845696047,0.3669297974248219,0.6057473049257602
1.0,45,0.907216489315033,0.003450804468791757,0.3601925535118747,0.6001604398091186
1.0,46,0.9037656784057617,0.0035533761515159634,0.35355157454932423,0.5946020303945524
1.0,47,0.900212287902832,0.003660590087122162,0.3469419274367369,0.5890177649585256
1.0,48,0.8965517282485962,0.0037727307024824075,0.3403108432834428,0.5833616745068558
1.0,49,0.8927789926528931,0.0038901045465596917,0.3337142697778078,0.5776800756282043
1.0,50,0.8888888955116272,0.004013042387760124,0.32715711543729886,0.5719764990253523
1.0,51,0.8848758339881897,0.004141901547000226,0.32065070742115065,0.5662602823977244
1.0,52,0.8807339668273926,0.004277068497251957,0.31422012606253674,0.5605534105351039
1.0,53,0.8764568567276001,0.0044189617649335045,0.30778207310018,0.5547811037699284
1.0,54,0.8720378875732422,0.0045680351738708325,0.30145234740880983,0.5490467624973394
1.0,55,0.8674699068069458,0.004724781478856466,0.2951535894660191,0.5432803967253181
1.0,56,0.8627451062202454,0.004889736443205672,0.28890705085031804,0.5375007449765238
1.0,57,0.8578553795814514,0.005063483423421222,0.282755463364416,0.5317475560493118
1.0,58,0.8527919054031372,0.005246658534345916,0.2766328576106463,0.5259589885253853
1.0,59,0.8475452065467834,0.005439956480348229,0.2705851916600622,0.5201780384253666
1.0,60,0.8421052694320679,0.005644137152532758,0.26461966060087044,0.5144119561216189
1.0,61,0.8364611268043518,0.005860033109187146,0.2587374261810515,0.5086623891944946
1.0,62,0.8306010961532593,0.006088558077233297,0.25294733071030423,0.502938694783275
1.0,63,0.8245125412940979,0.006330716637123368,0.24719864732258745,0.49719075546774544
1.0,64,0.8181818127632141,0.006587615283267345,0.2415337959285473,0.49146087934702115
1.0,65,0.8115941882133484,0.006860475087899887,0.23593280832134358,0.48572915119574983
1.0,66,0.8047337532043457,0.007150646239653891,0.2303988524943732,0.47999880468015044
1.0,67,0.7975831031799316,0.007459624780873586,0.22490703389434585,0.4742436440210305
1.0,68,0.790123462677002,0.007789071932079228,0.21953383774800958,0.46854438183379127
1.0,69,0.7823343873023987,0.008140836470947432,0.2142313064398984,0.46285127896539124
1.0,70,0.774193525314331,0.008516980730331025,0.20899382467841573,0.45715842404839896
1.0,71,0.7656765580177307,0.008919810900008929,0.2038425271810105,0.4514892326302041
1.0,72,0.7567567825317383,0.009351912466099344,0.19874336753392594,0.44580642383654134
1.0,73,0.7474048733711243,0.009816191808387997,0.1936883477961793,0.4401003837719064
1.0,74,0.73758864402771,0.010315925209542165,0.18868653202421953,0.43438063035110064
1.0,75,0.7272727489471436,0.01085481682496603,0.18372583296464776,0.4286325150576514
