weak,t,id,split,fit_type,delta,tau,squared_residual,squared_gap
depth10,0.15,1298,fit,finite_signed,0.001,0.03211111111111112,5.2597820235532105e-06,5.564757607362397e-06
depth10,0.15,708,fit,finite_signed,0.001,0.03211111111111112,4.091762761604006e-06,4.217526393503269e-06
depth10,0.15,1505,fit,finite_signed,0.001,0.03211111111111112,2.0435801936597633e-05,2.0429967243192933e-05
depth10,0.15,2304,fit,finite_signed,0.001,0.03211111111111112,8.615746181767708e-06,8.638011457742327e-06
depth10,0.15,307,fit,finite_signed,0.001,0.03211111111111112,4.675301999093495e-06,4.857269628501422e-06
depth10,0.15,4093,fit,finite_signed,0.001,0.03211111111111112,4.421610209048956e-06,4.497913002585592e-06
depth10,0.15,769,fit,finite_signed,0.001,0.03211111111111112,8.23542275263753e-06,8.14297124231426e-06
depth10,0.15,3769,fit,finite_signed,0.001,0.03211111111111112,4.656155975210601e-06,4.715956768061213e-06
depth10,0.15,1780,fit,finite_signed,0.001,0.03211111111111112,9.84869637543929e-06,9.836087439240932e-06
depth10,0.15,2797,test,finite_signed,0.001,0.03211111111111112,5.9839249311788175e-06,6.041338616967454e-06
depth10,0.15,2744,test,finite_signed,0.001,0.03211111111111112,8.761838385088946e-06,8.98868689095436e-06
depth10,0.15,2114,test,finite_signed,0.001,0.03211111111111112,3.877761425837746e-06,4.019749570575339e-06
