weak,t,q,delta,tau,fit_ratio,test_ratio
depth6,0.5,1.0,-0.1,-0.1,1.273310428429952,1.2796402057153164
depth6,0.5,1.0,-0.03,-0.03,1.0523316928327757,1.0599693532717493
depth6,0.5,1.0,-0.01,-0.01,1.0147946770157517,1.0177687599149583
depth6,0.5,1.0,0.0,0.0,1.0,1.0
depth6,0.5,1.0,0.01,0.01,0.9877752283385357,0.9844087920189809
depth6,0.5,1.0,0.03,0.03,0.9707602572238213,0.9595502054628721
depth6,0.5,1.0,0.1,0.1,0.9825059408624243,0.9334936839243687
depth6,0.5,1.0,0.25,0.25,1.2977880569663987,1.1282609999716349
depth6,0.5,1.0,0.5,0.5,2.329658775385878,1.903820231925714
depth6,0.5,1.0,1.0,1.0,4.898691545289457,3.9987773509644717
depth6,0.5,1.0,2.0,2.0,9.341289989034015,7.704319320600583
depth6,0.5,1.0,4.0,4.0,14.60185211442777,12.132433672621373
depth8,0.5,1.0,-0.75,-0.75,32.82612042294878,29.8117218100619
depth8,0.5,1.0,-0.5,-0.5,7.72520611243612,7.141066542902206
depth8,0.5,1.0,-0.25,-0.25,2.4315348783312447,2.382479014095196
depth8,0.5,1.0,-0.1,-0.1,1.2790868623734422,1.304704687069166
depth8,0.5,1.0,-0.03,-0.03,1.0467664510725936,1.0594226723435098
depth8,0.5,1.0,-0.01,-0.01,1.0123002833547978,1.016864869506236
depth8,0.5,1.0,0.0,0.0,1.0,1.0
depth8,0.5,1.0,0.01,0.01,0.9908862662680805,0.9860007684046751
depth8,0.5,1.0,0.03,0.03,0.9818828831046866,0.9663179014708774
depth8,0.5,1.0,0.1,0.1,1.0382335550633184,0.9772597525039709
depth8,0.5,1.0,0.25,0.25,1.5127899927700483,1.3272540655625211
depth8,0.5,1.0,0.5,0.5,2.9044906993482766,2.495179205391406
depth8,0.5,1.0,1.0,1.0,6.2193830297903006,5.398957417643716
depth8,0.5,1.0,2.0,2.0,11.805332360432882,10.348973594427944
depth8,0.5,1.0,4.0,4.0,18.32393258253441,16.142114285548256
depth10,0.5,1.0,-0.75,-0.75,98.89676406295985,79.84917840327384
depth10,0.5,1.0,-0.5,-0.5,21.55936612385718,17.50777453130976
depth10,0.5,1.0,-0.25,-0.25,4.982356858364742,4.246313032137676
depth10,0.5,1.0,-0.1,-0.1,1.6479682717192587,1.5555996150857774
depth10,0.5,1.0,-0.03,-0.03,1.079284223923897,1.0743607729680502
depth10,0.5,1.0,-0.01,-0.01,1.016267386052133,1.0164844198263858
depth10,0.5,1.0,0.0,0.0,1.0,1.0
depth10,0.5,1.0,0.01,0.01,0.9935255402679993,0.9915416304396795
depth10,0.5,1.0,0.03,0.03,1.0088283753567995,0.9977982490619494
depth10,0.5,1.0,0.1,0.1,1.3297991075580038,1.239741508823396
depth10,0.5,1.0,0.25,0.25,3.075280386622238,2.6334308255103767
depth10,0.5,1.0,0.5,0.5,7.706228335642103,6.423160151058871
depth10,0.5,1.0,1.0,1.0,18.247392160925646,15.091992317693904
depth10,0.5,1.0,2.0,2.0,35.45936766020262,29.1497632711314
depth10,0.5,1.0,4.0,4.0,55.22304512974021,45.16673357966476
external_v500,0.5,1.0,-0.75,-0.75,611.2059105391351,492.0032149406371
external_v500,0.5,1.0,-0.5,-0.5,129.08204248582408,103.73166694903551
external_v500,0.5,1.0,-0.25,-0.25,24.756564209292744,20.242309590035692
external_v500,0.5,1.0,-0.1,-0.1,4.493666697981422,3.902306330816453
external_v500,0.5,1.0,-0.03,-0.03,1.3259266447068425,1.2787046152839068
external_v500,0.5,1.0,-0.01,-0.01,1.0451433600899906,1.0402673750516365
external_v500,0.5,1.0,0.0,0.0,1.0,1.0
external_v500,0.5,1.0,0.01,0.01,1.015991654794947,1.0107221247362501
external_v500,0.5,1.0,0.03,0.03,1.2240716725058962,1.1786992250341424
external_v500,0.5,1.0,0.1,0.1,3.614335738143298,3.1498053148419
external_v500,0.5,1.0,0.25,0.25,15.308582392858264,12.84841060337716
external_v500,0.5,1.0,0.5,0.5,45.309496134461185,37.99694371275128
external_v500,0.5,1.0,1.0,1.0,112.39542100689671,93.84846472093388
external_v500,0.5,1.0,2.0,2.0,220.31186478288836,182.56434962456572
external_v500,0.5,1.0,4.0,4.0,342.9664611052073,282.2720826705564
depth4,0.7,0.18367346938775517,-0.75,-0.13775510204081637,3.438162208292964,3.1969851966524847
depth4,0.7,0.18367346938775517,-0.5,-0.09183673469387758,2.190754677341011,2.082955686593313
depth4,0.7,0.18367346938775517,-0.25,-0.04591836734693879,1.4545689572847669,1.4272089078296353
depth4,0.7,0.18367346938775517,-0.1,-0.01836734693877552,1.152904502600849,1.1489040158992512
depth4,0.7,0.18367346938775517,-0.03,-0.005510204081632655,1.0420724840851165,1.0417071010694363
depth4,0.7,0.18367346938775517,-0.01,-0.0018367346938775518,1.0136699498149773,1.013605340992103
depth4,0.7,0.18367346938775517,0.0,0.0,1.0,1.0
depth4,0.7,0.18367346938775517,0.01,0.0018367346938775518,0.9866743870275122,0.9866768300220253
depth4,0.7,0.18367346938775517,0.03,0.005510204081632655,0.9610338860032687,0.9608572525751402
depth4,0.7,0.18367346938775517,0.1,0.01836734693877552,0.8813566209570114,0.8793349367844643
depth4,0.7,0.18367346938775517,0.25,0.04591836734693879,0.7563923452789123,0.7472728203397797
depth4,0.7,0.18367346938775517,0.5,0.09183673469387758,0.6506524324981703,0.6276024818914663
depth4,0.7,0.18367346938775517,1.0,0.18367346938775517,0.6483198586297771,0.5962148336707062
depth4,0.7,0.18367346938775517,2.0,0.36734693877551033,0.8981270878026003,0.7898822949747686
depth4,0.7,0.18367346938775517,4.0,0.7346938775510207,1.419193746917638,1.2254017708148481
depth6,0.7,0.18367346938775517,-0.75,-0.13775510204081637,3.580353374074816,3.4139448605473977
depth6,0.7,0.18367346938775517,-0.5,-0.09183673469387758,2.235636655986337,2.1653286810334125
depth6,0.7,0.18367346938775517,-0.25,-0.04591836734693879,1.4607577021240798,1.448586007701149
depth6,0.7,0.18367346938775517,-0.1,-0.01836734693877552,1.1527369542662083,1.153984020018054
depth6,0.7,0.18367346938775517,-0.03,-0.005510204081632655,1.041716476649824,1.0428458671760568
depth6,0.7,0.18367346938775517,-0.01,-0.0018367346938775518,1.013525886877108,1.0139523929608525
depth6,0.7,0.18367346938775517,0.0,0.0,1.0,1.0
depth6,0.7,0.18367346938775517,0.01,0.0018367346938775518,0.9868446935232744,0.9863672810159143
depth6,0.7,0.18367346938775517,0.03,0.005510204081632655,0.9616176227657645,0.9600323308565617
depth6,0.7,0.18367346938775517,0.1,0.01836734693877552,0.8840768894404353,0.8776750725971261
depth6,0.7,0.18367346938775517,0.25,0.04591836734693879,0.7665097455576964,0.7480179393766152
depth6,0.7,0.18367346938775517,0.5,0.09183673469387758,0.6782808172820508,0.6403115177445512
depth6,0.7,0.18367346938775517,1.0,0.18367346938775517,0.716471972147413,0.6446113043040732
depth6,0.7,0.18367346938775517,2.0,0.36734693877551033,1.034963966661672,0.911261096820339
depth6,0.7,0.18367346938775517,4.0,0.7346938775510207,1.6376147608650617,1.4474677001702683
depth8,0.7,0.18367346938775517,-0.75,-0.13775510204081637,4.188516196920247,4.078735787309787
depth8,0.7,0.18367346938775517,-0.5,-0.09183673469387758,2.4560494208604577,2.4137515684767634
depth8,0.7,0.18367346938775517,-0.25,-0.04591836734693879,1.5127667106936336,1.5111341780776466
depth8,0.7,0.18367346938775517,-0.1,-0.01836734693877552,1.1633601799669058,1.1679411385716147
depth8,0.7,0.18367346938775517,-0.03,-0.005510204081632655,1.043700219496429,1.0457345618035156
depth8,0.7,0.18367346938775517,-0.01,-0.0018367346938775518,1.0140800132195014,1.0148009854387414
depth8,0.7,0.18367346938775517,0.0,0.0,1.0,1.0
depth8,0.7,0.18367346938775517,0.01,0.0018367346938775518,0.9863918150568272,0.9856350055814368
depth8,0.7,0.18367346938775517,0.03,0.005510204081632655,0.9605563417869859,0.9581542376248858
depth8,0.7,0.18367346938775517,0.1,0.01836734693877552,0.8837332035473792,0.8749427543009096
depth8,0.7,0.18367346938775517,0.25,0.04591836734693879,0.7795856662863211,0.7568706669272074
depth8,0.7,0.18367346938775517,0.5,0.09183673469387758,0.7362461872533412,0.6940187620463124
depth8,0.7,0.18367346938775517,1.0,0.18367346938775517,0.8941198504725077,0.8225072022440812
depth8,0.7,0.18367346938775517,2.0,0.36734693877551033,1.4332651876271718,1.3259685450564338
depth8,0.7,0.18367346938775517,4.0,0.7346938775510207,2.308618235760605,2.1662819652673577
depth10,0.7,0.18367346938775517,-0.75,-0.13775510204081637,8.66086058828426,8.14418047703235
depth10,0.7,0.18367346938775517,-0.5,-0.09183673469387758,4.018002688037394,3.812206801029345
depth10,0.7,0.18367346938775517,-0.25,-0.04591836734693879,1.8503311011573849,1.8078373031791164
depth10,0.7,0.18367346938775517,-0.1,-0.01836734693877552,1.2213699755678322,1.215923591110317
depth10,0.7,0.18367346938775517,-0.03,-0.005510204081632655,1.0521297923123516,1.0518661514376195
depth10,0.7,0.18367346938775517,-0.01,-0.0018367346938775518,1.016101066325759,1.016108371527195
depth10,0.7,0.18367346938775517,0.0,0.0,1.0,1.0
depth10,0.7,0.18367346938775517,0.01,0.0018367346938775518,0.9851296748039147,0.9850246446316185
depth10,0.7,0.18367346938775517,0.03,0.005510204081632655,0.9589664123922619,0.9584216825977352
depth10,0.7,0.18367346938775517,0.1,0.01836734693877552,0.9020009593450892,0.898190551402628
depth10,0.7,0.18367346938775517,0.25,0.04591836734693879,0.9273831823424281,0.9127111429832296
depth10,0.7,0.18367346938775517,0.5,0.09183673469387758,1.2605896393615537,1.2235611128731267
depth10,0.7,0.18367346938775517,1.0,0.18367346938775517,2.365986593605819,2.2732182335781475
depth10,0.7,0.18367346938775517,2.0,0.36734693877551033,4.6023538779652196,4.411565251589739
depth10,0.7,0.18367346938775517,4.0,0.7346938775510207,7.572925050797847,7.249207156089936
external_v500,0.7,0.18367346938775517,-0.75,-0.13775510204081637,61.283698463132545,57.232372259231475
external_v500,0.7,0.18367346938775517,-0.5,-0.09183673469387758,21.845461367861095,20.584496614904086
external_v500,0.7,0.18367346938775517,-0.25,-0.04591836734693879,5.320024286032712,5.19280142884479
external_v500,0.7,0.18367346938775517,-0.1,-0.01836734693877552,1.6655353423862242,1.6668790562752944
external_v500,0.7,0.18367346938775517,-0.03,-0.005510204081632655,1.0761196833866744,1.0813554147892108
external_v500,0.7,0.18367346938775517,-0.01,-0.0018367346938775518,1.0145466305229098,1.0166711559494694
external_v500,0.7,0.18367346938775517,0.0,0.0,1.0,1.0
external_v500,0.7,0.18367346938775517,0.01,0.0018367346938775518,0.9959332408568926,0.9937914132465866
external_v500,0.7,0.18367346938775517,0.03,0.005510204081632655,1.0179796792569915,1.0105881192383854
external_v500,0.7,0.18367346938775517,0.1,0.01836734693877552,1.3826038696748106,1.3530123615235403
external_v500,0.7,0.18367346938775517,0.25,0.04591836734693879,3.34615801199803,3.26490157092323
external_v500,0.7,0.18367346938775517,0.5,0.09183673469387758,8.770645225664248,8.581082034410127
external_v500,0.7,0.18367346938775517,1.0,0.18367346938775517,22.125635668234974,21.55788541970672
external_v500,0.7,0.18367346938775517,2.0,0.36734693877551033,45.7559667280241,44.39104898027964
external_v500,0.7,0.18367346938775517,4.0,0.7346938775510207,74.69481523086512,72.28426963319751
depth4,0.9,0.012345679012345671,-0.75,-0.009259259259259254,1.7415620687186695,1.6599294715170065
depth4,0.9,0.012345679012345671,-0.5,-0.006172839506172836,1.4086812071050943,1.3758515605028472
depth4,0.9,0.012345679012345671,-0.25,-0.003086419753086418,1.1702789425213933,1.1638444273344224
depth4,0.9,0.012345679012345671,-0.1,-0.0012345679012345672,1.0616999088584622,1.0606760420407497
depth4,0.9,0.012345679012345671,-0.03,-0.00037037037037037014,1.0177212687304238,1.0175592199611174
depth4,0.9,0.012345679012345671,-0.01,-0.0001234567901234567,1.005835803193029,1.0057887106554653
depth4,0.9,0.012345679012345671,0.0,0.0,1.0,1.0
depth4,0.9,0.012345679012345671,0.01,0.0001234567901234567,0.9942349718874108,0.9942678486545644
depth4,0.9,0.012345679012345671,0.03,0.00037037037037037014,0.9829073728701503,0.9829586907974021
depth4,0.9,0.012345679012345671,0.1,0.0012345679012345672,0.9453026530758872,0.945132120344022
depth4,0.9,0.012345679012345671,0.25,0.003086419753086418,0.8741059352594747,0.872443599850002
depth4,0.9,0.012345679012345671,0.5,0.006172839506172836,0.777985217921015,0.7727531482282133
depth4,0.9,0.012345679012345671,1.0,0.012345679012345671,0.6433112980112754,0.6309152056989058
