family,sampling_progress,kappa,gamma,strong_error_rms,guided_error_l2,relative_equality_residual
growing_ratio,0.84,2.602139755179244,0.6241652744508058,0.1454585393391074,1.5700924586837752e-16,3.016930869725063e-16
growing_ratio,0.85,2.6245047927124707,0.6155722066724584,0.14191077008693403,5.551115123125783e-17,2.0853286601869335e-16
growing_ratio,0.86,2.6471820345351462,0.6070974421975235,0.1383630008347607,6.206335383118183e-17,1.8932023943348762e-16
growing_ratio,0.87,2.6701758388567387,0.5987393523094641,0.13481523158258735,5.551115123125783e-17,2.5660205400084746e-16
growing_ratio,0.88,2.6934906247250545,0.5904963307147651,0.131267462330414,5.551115123125783e-17,6.450068077543704e-16
growing_ratio,0.89,2.7171308728755075,0.582366793234228,0.12771969307824063,5.551115123125783e-17,2.928430480983202e-16
growing_ratio,0.9,2.7411011265922482,0.5743491774985174,0.12417192382606729,0.0,1.4939597322096301e-16
growing_ratio,0.91,2.76540599258131,0.5664419426478988,0.12062415457389392,2.498001805406602e-16,3.468887371978994e-16
growing_ratio,0.92,2.7900501418559447,0.55864356903611,0.11707638532172056,2.7755575615628914e-17,3.294377345492119e-16
growing_ratio,0.93,2.8150383106343217,0.5509525579383053,0.11352861606954721,0.0,4.2283317101309706e-16
growing_ratio,0.9400000000000001,2.8403753012497504,0.5433674312630289,0.10998084681737387,1.2412670766236366e-16,2.8614048397352686e-16
growing_ratio,0.9500000000000001,2.8660659830736153,0.5358867312681463,0.10643307756520051,5.551115123125783e-17,3.6139198769187506e-16
growing_ratio,0.96,2.892115293451192,0.5285090202806904,0.10288530831302721,5.551115123125783e-17,2.4695049810338625e-16
growing_ratio,0.97,2.918528238650529,0.5212328804205606,0.09933753906085385,1.1102230246251565e-16,6.019424246068345e-16
growing_ratio,0.98,2.945309894824571,0.5140569133280332,0.0957897698086805,6.206335383118183e-17,3.9932935978115706e-16
growing_ratio,0.99,2.9724654089867184,0.5069797398950144,0.09224200055650712,5.551115123125783e-17,6.605607509925315e-17
growing_ratio,1.0,3.0,0.5000000000000001,0.08869423130433378,1.2719202621569003e-16,2.0325758417126096e-16
falling_ratio,0.0,3.0,0.4999999999999997,0.443471156521669,6.591583993652515e-16,2.1680808978267838e-16
falling_ratio,0.01,2.9724654089867184,0.5069797398950143,0.4399233872694956,5.495323605393213e-16,1.6620560831424985e-16
falling_ratio,0.02,2.945309894824571,0.5140569133280334,0.4363756180173223,2.7894008272968645e-16,1.612878929815988e-16
falling_ratio,0.03,2.918528238650529,0.5212328804205606,0.43282784876514896,6.206335383118183e-17,1.5913315579332868e-16
falling_ratio,0.04,2.892115293451192,0.5285090202806901,0.4292800795129756,1.6653345369377348e-16,2.495521240360768e-16
falling_ratio,0.05,2.866065983073615,0.5358867312681465,0.4257323102608022,2.0770370905276122e-16,2.4539000033989303e-16
falling_ratio,0.06,2.8403753012497504,0.543367431263029,0.42218454100862884,5.551115123125783e-17,1.9457000560708356e-16
falling_ratio,0.07,2.8150383106343217,0.5509525579383056,0.41863677175645553,3.597533769998862e-16,4.265088980692425e-16
falling_ratio,0.08,2.7900501418559447,0.5586435690361099,0.41508900250428216,1.6883057536160649e-16,2.0345960212859603e-16
falling_ratio,0.09,2.76540599258131,0.5664419426478994,0.41154123325210884,1.3597399555105182e-16,2.505108353437273e-16
falling_ratio,0.1,2.7411011265922482,0.5743491774985174,0.4079934639999354,2.830524433501838e-16,5.008825115250043e-16
falling_ratio,0.11,2.7171308728755075,0.5823667932342281,0.40444569474776215,2.7755575615628914e-16,1.9027444071460461e-16
falling_ratio,0.12,2.6934906247250545,0.5904963307147649,0.4008979254955888,3.885780586188048e-16,2.871467222224687e-16
falling_ratio,0.13,2.6701758388567387,0.5987393523094644,0.39735015624341546,2.2887833992611187e-16,1.5271581769320974e-16
falling_ratio,0.14,2.6471820345351462,0.6070974421975234,0.39380238699124204,5.551115123125783e-17,2.579187521654588e-16
falling_ratio,0.15,2.624504792712471,0.6155722066724582,0.3902546177390687,1.6653345369377348e-16,2.084370989109935e-16
falling_ratio,0.16,2.6021397551792442,0.6241652744508062,0.3867068484868954,3.925231146709438e-16,5.172938870885336e-16
falling_ratio,0.17,2.5800826237267542,0.6328782969851401,0.38315907923472203,7.850462293418876e-17,5.750448156024298e-16
falling_ratio,0.18,2.5583291593209996,0.6417129487814524,0.37961130998254866,2.7894008272968645e-16,3.479631413031091e-16
falling_ratio,0.19,2.5368751812880124,0.6506709277209669,0.37606354073037523,1.7554167342883506e-16,7.842143348018464e-17
falling_ratio,0.2,2.515716566510398,0.6597539553864472,0.3725157714782019,1.6653345369377348e-16,1.6054690523755004e-16
falling_ratio,0.21,2.4948492486349387,0.6689637773930561,0.3689680022260286,3.885780586188048e-16,1.0475510223506036e-16
falling_ratio,0.22,2.474269217291101,0.6783021637238359,0.36542023297385523,1.7554167342883506e-16,4.493922892979907e-16
falling_ratio,0.23,2.4539725173203104,0.6877709090698723,0.36187246372168186,4.3709524189038457e-16,3.294358111219436e-16
falling_ratio,0.24,2.4339552480158275,0.6973718331752035,0.35832469446950854,9.453208419344607e-16,3.9572201530582523e-16
falling_ratio,0.25,2.414213562373095,0.7071067811865475,0.3547769252173352,1.2412670766236366e-16,2.92724377333056e-16
