provider,evidence_label,known_best_fid1k_gain,time,rms,centroid,dc_fraction,low_fraction,mid_fraction,high_fraction
depth12_x,failed,0.0458,0.5799999833106995,0.13005521893501282,0.3244081139564514,0.060026973485946655,0.1675199568271637,0.16371071338653564,0.668769359588623
external_v500,useful,6.6,0.5799999833106995,0.07528582215309143,0.34932345151901245,0.0026297075673937798,0.09733232110738754,0.1784760057926178,0.7241916656494141
final_linear_x,failed,-0.3325,0.5799999833106995,0.3532845973968506,0.36228084564208984,0.039435021579265594,0.09606270492076874,0.14450490474700928,0.7594324350357056
raw_final_h4,depth_probe,nan,0.5799999833106995,3.909935712814331,0.3764662742614746,0.04504179209470749,0.12175193428993225,0.08003082871437073,0.7982171773910522
raw_final_h6,depth_probe,nan,0.5799999833106995,3.2853262424468994,0.37108656764030457,0.051263514906167984,0.13598939776420593,0.0772378146648407,0.7867728471755981
raw_final_h8,failed,-0.039,0.5799999833106995,1.4975310564041138,0.3802652955055237,0.04474673047661781,0.12141402065753937,0.07679139822721481,0.8017945885658264
raw_final_h10,depth_probe,nan,0.5799999833106995,0.43661201000213623,0.36270350217819214,0.0492841862142086,0.12592169642448425,0.10780275613069534,0.7662755250930786
depth4_v,depth_probe,nan,0.6000000238418579,0.43037670850753784,0.36341965198516846,0.006936142221093178,0.0868169367313385,0.15583959221839905,0.7573434710502625
depth6_v,depth_probe,nan,0.6000000238418579,0.4152986705303192,0.3780709505081177,0.009623914957046509,0.07534714043140411,0.13054993748664856,0.7941029071807861
depth8_v,useful,12.4539,0.6000000238418579,0.3626232147216797,0.38361072540283203,0.013796551153063774,0.07601755112409592,0.12196112424135208,0.802021324634552
depth8_x,useful,5.6779,0.6000000238418579,0.421777606010437,0.36437439918518066,0.02014160342514515,0.10413570702075958,0.1329285204410553,0.7629357576370239
depth8_epsilon,useful,7.191,0.6000000238418579,0.3671844005584717,0.38514232635498047,0.010110661387443542,0.06956802308559418,0.12487736344337463,0.8055546283721924
depth10_v,depth_probe,nan,0.6000000238418579,0.21604099869728088,0.371376097202301,0.019383039325475693,0.08610697090625763,0.13363677263259888,0.7802562713623047
depth12_v,depth_probe,nan,0.6000000238418579,0.01437066588550806,0.2997956871986389,0.11157122254371643,0.2756388783454895,0.12287428975105286,0.6014868021011353
depth12_x,failed,0.0458,0.6000000238418579,0.13889294862747192,0.3262253999710083,0.05853278934955597,0.16260595619678497,0.16320380568504333,0.6741902828216553
external_v500,useful,6.6,0.6000000238418579,0.07648153603076935,0.3540714383125305,0.0024438744876533747,0.08978180587291718,0.17353388667106628,0.7366843223571777
