direction,time_bin,time_low,time_high,samples,A_mean,A_se,B_mean,B_se,AB_mean,B2_mean,gamma_hat_mean,gamma_hat_sample_ls,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_sample_ls,B_positive_fraction,direction_rms,euclidean_B_mean,euclidean_cosine_mean,critic_seed
x800_orthogonal_to_strong,q0,0.0,0.25,994,-0.00246539192615729,0.0014479397182963992,0.0003533314806157962,0.00010076087955116442,-1.2424332750045344e-05,1.0206528699182956e-05,-6.977560906434192,-1.2172926874775676,-1.8670442943289199e-06,-3.5055194199272964e-05,0.540241448692153,3.3502439544939144,-6.25946974409538,-0.03680101939848547,seed3
x800_orthogonal_to_strong,q1,0.25,0.5,1088,-0.000925241170614968,0.0004032408894734581,0.0005235199639828887,5.9795937832418724e-05,-2.9651411423132977e-06,4.16070054771662e-06,-1.7673464896655013,-0.7126543014350212,-1.2428376013203128e-06,-1.009098283234324e-05,0.6185661764705882,6.868948743021208,-22.875374131041635,-0.05974632520520825,seed3
x800_orthogonal_to_strong,q2,0.5,0.75,1017,-0.00023322110424906146,0.00035582844746818055,0.00047463792921494943,7.304858324167584e-05,-2.185254955607308e-06,5.646754205683362e-06,-0.4913663445203566,-0.3869931071920726,-4.466723277894521e-07,-1.0017264116897971e-05,0.616519174041298,10.304292166144686,-46.774801996488016,-0.07818333095180614,seed3
x800_orthogonal_to_strong,q3,0.75,1.0,997,-0.002070137453494349,0.0016946418614993898,-0.00021552767658298,0.0001547389597197319,-0.00018585493078612065,2.3894821251897483e-05,9.604972717725783,-7.778042314142105,8.458916517448301e-07,-0.00039560468282413786,0.46038114343029085,10.077044357909413,-45.193108984159906,-0.06969713692512146,seed3
v500_parallel_to_strong,overall,0.0,1.0,4096,-0.0014058532403282697,0.0005593283932961655,-2.7950192609302316e-05,5.069366807460062e-06,-3.4720445931787145e-06,1.0601648816492352e-07,50.29851707928399,-32.75004344397318,7.780652442827688e-08,-7.050105674522283e-06,0.460205078125,0.36971905618339845,-0.0426820749336585,-0.0013053341013384025,seed3
v500_parallel_to_strong,high_noise,0.0,0.5,2082,-0.001660548495787431,0.000722696790384558,-6.450918423385667e-05,7.047730497102106e-06,1.374417463093145e-07,1.0752575608802649e-07,25.741272587910313,1.278221621588014,2.1007982283749173e-07,1.6735773653063848e-07,0.3703170028818444,0.31695532725379466,-0.002421654114178959,0.0003950283899737896,seed3
v500_parallel_to_strong,low_noise,0.5,1.0,2014,-0.0011425585422816093,0.000857960519260366,9.843164174373037e-06,7.2001881481831835e-06,-7.20340038206356e-06,1.0445626184123912e-07,-116.07634720309689,-68.96092445862037,-2.2589670501983925e-08,-1.4511257025968472e-05,0.5531281032770605,0.41730922517433816,-0.08430183468845313,-0.003063107044194403,seed3
v500_parallel_to_strong,q0,0.0,0.25,994,-0.00246539192615729,0.0014479397182963992,-4.1800680856294615e-05,1.2263814924810785e-05,-1.9695555490933997e-08,1.5109564533449154e-07,58.97970740316388,-0.130351575965889,2.0436282526192402e-07,-1.904867563159822e-07,0.3953722334004024,0.27175976585164774,0.00608095081848766,0.0012230794901894185,seed3
v500_parallel_to_strong,q1,0.25,0.5,1088,-0.000925241170614968,0.0004032408894734581,-8.525573970931318e-05,7.457431230881786e-06,2.8100284740255637e-07,6.772017712572296e-08,10.852538184169862,4.149470059431072,1.5049569966719784e-07,4.942855176793767e-07,0.3474264705882353,0.35322683273015304,-0.01018965898832475,-0.0003614815306276207,seed3
v500_parallel_to_strong,q2,0.5,0.75,1017,-0.00023322110424906146,0.00035582844746818055,-6.667614783674631e-05,5.7018091340316186e-06,6.035178824379069e-09,3.7476506129688844e-08,3.4978191124672247,0.1610389934294864,2.665486096077164e-08,-2.5406148480963588e-08,0.36283185840707965,0.4419528779499731,-0.11361772085967768,-0.004191326686219041,seed3
