direction,state,alpha,m,h,predicted_coefficient,estimated_coefficient,raw_error,corrected_error
1,2,2.0,1,0.005,-1.0,-1.0021920172048897,1.4007446160180483e-05,4.0424337095734314e-08
1,2,2.0,2,0.08,0.0,0.0016378179970629153,0.0003818432591753043,0.0003818432591753043
1,2,2.0,2,0.04,0.0,4.5740364629496165e-05,4.874268972296571e-05,4.874268972296571e-05
1,2,2.0,2,0.02,0.0,-0.00016161398060250443,6.149734545424871e-06,6.149734545424871e-06
1,2,2.0,2,0.01,0.0,-0.000125775566269658,7.720781890311659e-07,7.720781890311659e-07
1,2,2.0,2,0.005,0.0,-7.398356210795529e-05,9.671385459807171e-08,9.671385459807171e-08
1,3,0.25,1,0.08,0.09375,0.09389533582977944,0.0002906707369656771,1.824560085082151e-05
1,3,0.25,1,0.04,0.09375,0.09369167764835026,7.240175879771298e-05,2.2383733063361573e-06
1,3,0.25,1,0.02,0.09375,0.09368865052040207,1.8093329234720827e-05,2.774057492776709e-07
1,3,0.25,1,0.01,0.09375,0.09371134857202312,4.524028770750146e-06,3.453417340813387e-08
1,3,0.25,1,0.005,0.09375,0.09372868894397236,1.1311917867843842e-06,4.308170207748508e-09
