arm,state_index,mean_spatial_channel_mean,rms_spatial_channel_mean,mean_spatial_channel_second_moment,first1024_squared_feature_difference_from_official,second1024_squared_feature_difference_from_official
control,35,-1.2628253677247707e-06,0.07323868447703853,0.8819125896576474,7.814688706169441e-07,2.4152056612614867e-07
control,36,-9.54292461592969e-06,0.07426022167455468,0.8773111601137491,8.695426512050054e-07,2.623715376342217e-07
control,37,-1.793858073342583e-05,0.07534364319588471,0.8726187764906566,9.67265995510567e-07,2.846736343923914e-07
control,38,-2.658684119830412e-05,0.07649060269136107,0.8678324892866214,1.0748951672944215e-06,3.0871996641067186e-07
control,39,-3.5402451163137907e-05,0.07770346931451291,0.8629501820035527,1.1941145441636819e-06,3.3451718813610705e-07
control,40,-4.4628599580902946e-05,0.0789848147004504,0.8579689077783512,1.3247370939288735e-06,3.6218245496059993e-07
control,41,-5.4040549714406635e-05,0.08033653704141777,0.8528863674596587,1.4677607700032938e-06,3.9192462807871084e-07
control,42,-6.367602562772553e-05,0.08176317069878473,0.8476994420898936,1.6232055381373641e-06,4.237486737741751e-07
control,43,-7.356876470998499e-05,0.08326534756360413,0.842405760878305,1.7916555882024449e-06,4.5835723511766766e-07
control,44,-8.373608826615209e-05,0.08484733865580506,0.8370025049395758,1.9750772092525375e-06,4.948308818191264e-07
control,45,-9.432250634548736e-05,0.08651092256788984,0.8314862893728887,2.1746650996102536e-06,5.346364832556178e-07
control,46,-0.0001050839294274667,0.08825983915934468,0.8258547597941301,2.3927847325236793e-06,5.776811961498808e-07
control,47,-0.00011624771165531084,0.09009795653990255,0.820105034262154,2.627132478295552e-06,6.23711265857164e-07
control,48,-0.0001276969767096982,0.09202931807905873,0.8142338453190946,2.8816316850521956e-06,6.734098446828711e-07
control,49,-0.0001394806025814075,0.09405452465526193,0.8082379034021563,3.1589613465258575e-06,7.273276323000166e-07
control,50,-0.00015159254786847106,0.09617901509236361,0.8021143616171643,3.457862012890148e-06,7.853173492484827e-07
control,51,-0.00016414398127556962,0.0984057218783874,0.7958594421591583,3.7891409098910515e-06,8.487261990691119e-07
control,52,-0.00017688929454987362,0.1007389742140957,0.7894711327649808,4.147480906500019e-06,9.172702427976413e-07
control,53,-0.00019019092580268635,0.10318330804668287,0.7829447354766849,4.535421836261007e-06,9.914717728911787e-07
control,54,-0.00020383227659420407,0.10574323887112495,0.7762781057488736,4.962386616116197e-06,1.0725279409355225e-06
control,55,-0.00021783978120109627,0.10842367300440497,0.7694684222153356,5.432033451588143e-06,1.1621772808733215e-06
control,56,-0.00023237742101249605,0.11123079327977001,0.7625117418242089,5.944726840119188e-06,1.2603236921020683e-06
control,57,-0.0002473056672294345,0.11417199269202967,0.7554062413538061,6.497645178277179e-06,1.3677190242540216e-06
control,58,-0.00026264192978977385,0.11725246526619099,0.7481493022470165,7.103593579546384e-06,1.4850952686708958e-06
control,59,-0.00027849556791079426,0.12047777626882074,0.7407376101313183,7.776938492655127e-06,1.615969898249151e-06
control,60,-0.0002952099354273129,0.12385514699328183,0.7331688294752028,8.521396544228364e-06,1.7621383803771536e-06
control,61,-0.0003123339316475464,0.12739027851923754,0.7254409909471796,9.337001539924969e-06,1.926123113463295e-06
control,62,-0.0003298985790975602,0.13109204328227608,0.7175531546781737,1.023293014884643e-05,2.1091819884257996e-06
control,63,-0.0003480385579133685,0.13496729342260136,0.7095025902207108,1.1223031305956272e-05,2.3146721294840595e-06
control,64,-0.0003671209662580721,0.139033106560273,0.7012917675434949,1.2304430868217772e-05,2.544743853307522e-06
control,65,-0.0003867894410815269,0.14329598976741972,0.6929181981178734,1.34907853173129e-05,2.8036350036221196e-06
