mode,rank,batch_index,batch_size,nfe,elapsed_seconds,endpoint_mean,endpoint_std
velocity,1,7,64,56,1.3828595308586955,0.0771428719162941,0.8402355313301086
velocity,1,8,64,50,1.2414528378285468,0.047829966992139816,0.8210703134536743
velocity,1,9,64,56,1.3846849533729255,0.06844741106033325,0.8358830213546753
velocity,1,10,64,56,1.385599269066006,0.04283572733402252,0.8064059615135193
velocity,1,11,64,50,1.241251200903207,0.06757277250289917,0.8076892495155334
velocity,1,12,64,50,1.242882311809808,0.0555061511695385,0.837272047996521
velocity,1,13,64,56,1.385738033335656,0.06833969056606293,0.8395557999610901
velocity,1,14,64,50,1.2424494167789817,0.05499250441789627,0.8008257150650024
velocity,1,15,64,56,1.3880612030625343,0.047311216592788696,0.8009698987007141
velocity,1,16,64,44,1.0970533192157745,0.05843835324048996,0.8170334696769714
velocity,1,17,64,50,1.242235769983381,0.038533780723810196,0.8148934841156006
velocity,1,18,64,56,1.3860394372604787,0.05423266440629959,0.7988119125366211
velocity,1,19,64,50,1.2418879172764719,0.03099471516907215,0.8334037661552429
velocity,2,0,64,50,1.8684965828433633,0.023355551064014435,0.7959797978401184
velocity,2,1,64,56,1.7003819970414042,0.04097173735499382,0.8359178304672241
velocity,2,2,64,50,1.5965740759857,0.0444069504737854,0.8319692611694336
velocity,2,3,64,44,1.3667752309702337,0.042589880526065826,0.814935564994812
velocity,2,4,64,50,1.6086451169103384,0.03175024688243866,0.8318625092506409
velocity,2,5,64,56,1.7125542741268873,0.03652380406856537,0.8094853162765503
velocity,2,6,64,56,1.774486525915563,0.03309199959039688,0.8137640357017517
velocity,2,7,64,44,1.3667336492799222,0.04127497971057892,0.8241065144538879
velocity,2,8,64,50,1.5996045819483697,0.032036200165748596,0.8241492509841919
velocity,2,9,64,44,1.3641604371368885,0.06057075411081314,0.8319345116615295
velocity,2,10,64,50,1.5976412608288229,0.04800238460302353,0.8214059472084045
velocity,2,11,64,56,1.7120768656022847,0.031361714005470276,0.8287639617919922
velocity,2,12,64,56,1.7739309668540955,0.044243164360523224,0.8279479742050171
velocity,2,13,64,50,1.5382668026722968,0.08223727345466614,0.828682005405426
velocity,2,14,64,56,1.7625020500272512,0.014026161283254623,0.8458119630813599
velocity,2,15,64,56,1.7115756617859006,0.049109846353530884,0.8134363293647766
velocity,2,16,64,56,1.774829679634422,0.026369011029601097,0.809945821762085
velocity,2,17,64,56,1.7148968325927854,0.026583723723888397,0.831678032875061
velocity,2,18,64,56,1.7753984038718045,0.05610165372490883,0.8382755517959595
velocity,2,19,64,56,1.7813897770829499,0.08576395362615585,0.8151662945747375
velocity,3,0,64,56,1.74264732375741,0.07644619047641754,0.8206278681755066
velocity,3,1,64,50,1.2318866830319166,0.05915676802396774,0.8021888136863708
velocity,3,2,64,44,1.0897651319392025,0.05576099455356598,0.8045377135276794
velocity,3,3,64,44,1.0891650556586683,0.05479627102613449,0.817854642868042
velocity,3,4,64,50,1.2339782589115202,0.06204700097441673,0.8143273591995239
velocity,3,5,64,50,1.234640338923782,0.0880776047706604,0.8408012986183167
velocity,3,6,64,56,1.3781623062677681,0.03797297924757004,0.8066893815994263
velocity,3,7,64,56,1.3833283032290637,0.05159813165664673,0.7963972091674805
velocity,3,8,64,56,1.3801855221390724,0.09947504103183746,0.8223848342895508
velocity,3,9,64,56,1.380841812118888,0.003725985065102577,0.804071307182312
velocity,3,10,64,50,1.2395995277911425,0.022535111755132675,0.8472798466682434
velocity,3,11,64,56,1.3849693210795522,0.0342511311173439,0.8192740082740784
velocity,3,12,64,50,1.2408567019738257,0.04517323151230812,0.815554141998291
velocity,3,13,64,56,1.3856476657092571,0.040084801614284515,0.8091412782669067
velocity,3,14,64,56,1.385717554949224,0.06180068850517273,0.8267717957496643
velocity,3,15,64,50,1.2426080307923257,0.09143862128257751,0.8222386240959167
velocity,3,16,64,50,1.2417500987648964,0.05902823060750961,0.8259447813034058
velocity,3,17,64,50,1.2430155170150101,0.0216256994754076,0.8351690173149109
velocity,3,18,64,56,1.3861516397446394,0.07983504235744476,0.8094260692596436
velocity,3,19,64,56,1.3867811849340796,0.0770508274435997,0.8097853660583496
x,0,0,64,110,3.574562574736774,0.05630834773182869,0.834392786026001
x,0,1,64,98,3.223896209616214,0.06764952838420868,0.8450523018836975
x,0,2,64,122,3.9437602879479527,0.05145750939846039,0.7882383465766907
x,0,3,64,110,3.5866256677545607,0.0431254617869854,0.8250733613967896
x,0,4,64,110,3.581378536298871,0.04410235583782196,0.8122849464416504
x,0,5,64,98,3.221273094881326,0.03966190665960312,0.8278857469558716
x,0,6,64,104,3.400314725935459,0.08833067119121552,0.8171470761299133
x,0,7,64,98,3.0430790269747376,0.034515880048274994,0.8116239905357361
x,0,8,64,122,4.120735062286258,0.060025885701179504,0.8342779874801636
x,0,9,64,110,3.5838479651138186,0.06468772888183594,0.8191957473754883
x,0,10,64,104,3.3368836962617934,0.08266259729862213,0.833464503288269
x,0,11,64,110,3.5707248020917177,0.060568585991859436,0.8640998601913452
x,0,12,64,110,3.5680719786323607,0.06723810732364655,0.7991658449172974
x,0,13,64,122,4.022405652794987,0.08526528626680374,0.8234103918075562
x,0,14,64,104,3.4031856381334364,0.06610935926437378,0.8006733059883118
x,0,15,64,86,2.686974502168596,0.04562177136540413,0.8247721195220947
x,0,16,64,134,4.4746670527383685,0.08960841596126556,0.8012812733650208
x,0,17,64,86,2.6825234526768327,0.04645117372274399,0.803622841835022
x,0,18,64,110,3.572496483102441,0.03578969091176987,0.8217064738273621
x,0,19,64,110,3.573743665125221,0.035740237683057785,0.8282000422477722
x,1,0,64,80,1.96831723023206,0.07146968692541122,0.8299992680549622
x,1,1,64,128,3.1266993996687233,0.06900791823863983,0.8057844638824463
x,1,2,64,110,2.6941044041886926,0.05321227386593819,0.8057608604431152
x,1,3,64,122,2.9863563370890915,0.0553855299949646,0.814132571220398
x,1,4,64,110,2.6962980567477643,0.03455816209316254,0.8060855865478516
x,1,5,64,110,2.6951597100123763,0.0541936531662941,0.8434719443321228
x,1,6,64,92,2.2616910696960986,0.04707039147615433,0.7990030646324158
x,1,7,64,110,2.6961958962492645,0.07632412761449814,0.8358826637268066
x,1,8,64,98,2.4100471641868353,0.046383388340473175,0.8147098422050476
x,1,9,64,122,2.991007215809077,0.06910773366689682,0.8332919478416443
x,1,10,64,74,1.8289053766056895,0.041144080460071564,0.8015152215957642
