experiment,gamma,fid,sfid,inception_score,num_samples,integrator,noise_sha256,label_sha256,total_nfe,elapsed_seconds,condition_name,fid_improvement_vs_baseline
depth8_v,0.2,73.8349081392704,217.5895911218944,31.07292366027832,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7564,91.87740181200206,gamma_schedule_sweep_v4_depth8_v_g0p2,11.135428925406927
depth8_v,0.25,72.7313057256174,217.25472307436542,31.036340713500977,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7816,92.89360217098147,gamma_schedule_sweep_v4_depth8_v_g0p25,12.23903133905992
depth8_v,0.3,72.43546900335275,217.23243373360572,30.9992733001709,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8512,60.02946316404268,gamma_schedule_sweep_v4_depth8_v_g0p3,12.534868061324573
depth8_v,0.35,72.64105204028567,217.42654406977078,31.068090438842773,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8668,76.10447729297448,gamma_schedule_sweep_v4_depth8_v_g0p35,12.329285024391652
depth8_v,0.4,73.32253289259194,217.7719768765976,30.255029678344727,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8458,74.84392833302263,gamma_schedule_sweep_v4_depth8_v_g0p4,11.647804172085387
depth8_v,0.45,74.62640292999657,218.27177679155227,29.80111312866211,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8512,59.3817635269952,gamma_schedule_sweep_v4_depth8_v_g0p45,10.343934134680751
depth8_v,0.5,75.85814429131727,218.95583428125724,29.36215591430664,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8686,59.96263635897776,gamma_schedule_sweep_v4_depth8_v_g0p5,9.11219277336005
depth8_v,0.55,77.48204612956351,219.89051006248906,28.429447174072266,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9172,63.1637402420165,gamma_schedule_sweep_v4_depth8_v_g0p55,7.48829093511381
depth8_v,0.6,79.6720927684093,220.88115863298844,27.42441177368164,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9658,67.68953332095407,gamma_schedule_sweep_v4_depth8_v_g0p6,5.298244296268024
depth8_v,0.7,85.00006622561489,223.5337732389146,26.033971786499023,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,10336,69.52119715797016,gamma_schedule_sweep_v4_depth8_v_g0p7,-0.029729160937563393
